person_age,person_income,person_home_ownership,person_emp_length,loan_intent,loan_grade,loan_amnt,loan_int_rate,loan_status,loan_percent_income,cb_person_default_on_file,cb_person_cred_hist_length,debt_to_income,risk_tier,high_risk_flag,income_bracket,monthly_burden
21,9600,OWN,5.0,EDUCATION,B,1000,11.14,0,0.1,N,2,0.1042,2,0,Low,32.81
25,9600,MORTGAGE,1.0,MEDICAL,C,5500,12.87,1,0.57,N,3,0.5729,3,0,Low,184.97
23,65500,RENT,4.0,MEDICAL,C,35000,15.23,1,0.53,N,2,0.5344,3,0,High,1217.23
24,54400,RENT,8.0,MEDICAL,C,35000,14.27,1,0.55,Y,4,0.6434,3,0,Medium,1200.81
21,9900,OWN,2.0,VENTURE,A,2500,7.14,1,0.25,N,2,0.2525,1,0,Low,77.35
26,77100,RENT,8.0,EDUCATION,B,35000,12.42,1,0.45,N,3,0.454,2,0,High,1169.53
24,78956,RENT,5.0,MEDICAL,B,35000,11.11,1,0.44,N,4,0.4433,2,0,High,1147.68
24,83000,RENT,8.0,PERSONAL,A,35000,8.9,1,0.42,N,2,0.4217,1,0,High,1111.36
21,10000,OWN,6.0,VENTURE,D,1600,14.74,1,0.16,N,3,0.16,4,1,Low,55.26
22,85000,RENT,6.0,VENTURE,B,35000,10.37,1,0.41,N,4,0.4118,2,0,High,1135.44
21,10000,OWN,2.0,HOMEIMPROVEMENT,A,4500,8.63,1,0.45,N,2,0.45,1,0,Low,142.33
23,95000,RENT,2.0,VENTURE,A,35000,7.9,1,0.37,N,2,0.3684,1,0,High,1095.16
26,108160,RENT,4.0,EDUCATION,E,35000,18.39,1,0.32,N,4,0.3236,5,1,Very High,1272.19
23,115000,RENT,2.0,EDUCATION,A,35000,7.9,0,0.3,N,4,0.3043,1,0,Very High,1095.16
23,500000,MORTGAGE,7.0,DEBTCONSOLIDATION,B,30000,10.65,0,0.06,N,3,0.06,2,0,Very High,977.2
23,120000,RENT,0.0,EDUCATION,A,35000,7.9,0,0.29,N,4,0.2917,1,0,Very High,1095.16
23,92111,RENT,7.0,MEDICAL,F,35000,20.25,1,0.32,N,4,0.38,6,1,High,1305.19
23,113000,RENT,8.0,DEBTCONSOLIDATION,D,35000,18.25,1,0.31,N,4,0.3097,4,1,Very High,1269.73
24,10800,MORTGAGE,8.0,EDUCATION,B,1750,10.99,1,0.16,N,2,0.162,2,0,Low,57.28
25,162500,RENT,2.0,VENTURE,A,35000,7.49,0,0.22,N,4,0.2154,1,0,Very High,1088.56
25,137000,RENT,9.0,PERSONAL,E,34800,16.77,0,0.25,Y,2,0.254,5,1,Very High,1236.74
22,65000,RENT,4.0,EDUCATION,D,34000,17.58,1,0.52,N,4,0.5231,4,1,High,1222.03
24,10980,OWN,0.0,PERSONAL,A,1500,7.29,0,0.14,N,3,0.1366,1,0,Low,46.51
22,80000,RENT,3.0,PERSONAL,D,33950,14.54,1,0.42,Y,4,0.4244,4,1,High,1169.25
24,67746,RENT,8.0,HOMEIMPROVEMENT,C,33000,12.68,1,0.49,N,3,0.4871,3,0,High,1106.82
21,11000,MORTGAGE,3.0,VENTURE,E,4575,17.74,1,0.42,Y,3,0.4159,5,1,Low,164.8
23,11000,OWN,0.0,PERSONAL,A,1400,9.32,0,0.13,N,3,0.1273,1,0,Low,44.73
24,65000,RENT,6.0,HOMEIMPROVEMENT,B,32500,9.99,1,0.5,N,3,0.5,2,0,High,1048.53
21,11389,OTHER,5.0,EDUCATION,C,4000,12.84,1,0.35,Y,2,0.3512,3,0,Low,134.47
21,11520,OWN,5.0,MEDICAL,B,2000,11.12,1,0.17,N,3,0.1736,2,0,Low,65.59
25,120000,RENT,2.0,VENTURE,A,32000,6.62,0,0.27,N,2,0.2667,1,0,Very High,982.52
26,95000,RENT,7.0,HOMEIMPROVEMENT,C,31050,14.17,1,0.33,Y,3,0.3268,3,0,High,1063.78
25,306000,RENT,2.0,DEBTCONSOLIDATION,C,24250,13.85,0,0.08,N,3,0.0792,3,0,Very High,827.04
26,300000,MORTGAGE,10.0,MEDICAL,C,7800,13.49,0,0.03,N,4,0.026,3,0,Very High,264.66
21,12000,OWN,5.0,EDUCATION,A,2500,7.51,1,0.21,N,4,0.2083,1,0,Low,77.78
22,48000,RENT,1.0,EDUCATION,E,30000,18.39,1,0.63,N,2,0.625,5,1,Medium,1090.45
24,64000,RENT,8.0,DEBTCONSOLIDATION,D,30000,14.54,1,0.47,Y,3,0.4688,4,1,High,1033.21
25,75000,RENT,4.0,HOMEIMPROVEMENT,D,30000,16.89,1,0.4,Y,4,0.4,4,1,High,1067.94
26,62050,RENT,6.0,MEDICAL,E,30000,17.99,1,0.41,N,2,0.4835,5,1,High,1084.42
24,12000,OWN,4.0,VENTURE,B,2500,12.69,1,0.21,N,3,0.2083,2,0,Low,83.86
26,300000,MORTGAGE,10.0,VENTURE,A,20000,7.88,0,0.07,N,4,0.0667,1,0,Very High,625.62
23,300000,OWN,1.0,EDUCATION,F,24250,19.41,0,0.08,Y,2,0.0808,6,1,Very High,893.94
26,300000,OWN,9.0,HOMEIMPROVEMENT,B,10000,10.38,0,0.03,N,4,0.0333,2,0,Very High,324.46
26,300000,MORTGAGE,0.0,EDUCATION,D,25000,15.33,0,0.08,N,3,0.0833,4,1,Very High,870.68
25,300000,MORTGAGE,9.0,HOMEIMPROVEMENT,E,18000,16.45,0,0.06,N,3,0.06,5,1,Very High,636.83
26,80690,RENT,8.0,PERSONAL,A,30000,7.49,1,0.37,N,3,0.3718,1,0,High,933.05
22,66300,RENT,4.0,MEDICAL,B,30000,12.69,1,0.38,N,3,0.4525,2,0,High,1006.34
26,89028,RENT,0.0,DEBTCONSOLIDATION,A,30000,6.62,1,0.34,N,3,0.337,1,0,High,921.11
23,78000,RENT,7.0,DEBTCONSOLIDATION,F,30000,18.62,1,0.38,Y,3,0.3846,6,1,High,1093.93
